crontab_git_commit_am_date.sh: line 6: 2018年: command not found
2018年 10月 15日 星期一 11:11:26 CST
2018年 10月 15日 星期一 11:22:48 CST
2018年 10月 15日 星期一 11:26:31 CST
2018年 10月 15日 星期一 11:26:42 CST
Mon Oct 15 11:30:11 CST 2018
2018年 10月 15日 星期一 11:32:13 CST
2018年 10月 15日 星期一 11:34:24 CST
Mon Oct 15 12:00:12 CST 2018
Mon Oct 15 12:30:14 CST 2018
Mon Oct 15 13:00:12 CST 2018
Mon Oct 15 13:30:11 CST 2018
Mon Oct 15 14:00:10 CST 2018
Mon Oct 15 14:30:12 CST 2018
Mon Oct 15 15:00:13 CST 2018
Mon Oct 15 15:30:13 CST 2018
Mon Oct 15 16:04:20 CST 2018
Mon Oct 15 16:30:33 CST 2018
Mon Oct 15 17:00:16 CST 2018
Mon Oct 15 17:30:11 CST 2018
Mon Oct 15 18:00:11 CST 2018
Mon Oct 15 18:30:13 CST 2018
Tue Oct 16 09:00:10 CST 2018
Tue Oct 16 09:30:10 CST 2018
Tue Oct 16 10:00:11 CST 2018
Tue Oct 16 10:30:11 CST 2018
Tue Oct 16 11:00:10 CST 2018
Tue Oct 16 11:30:11 CST 2018
Tue Oct 16 12:00:13 CST 2018
Tue Oct 16 12:30:12 CST 2018
Tue Oct 16 13:00:10 CST 2018
Tue Oct 16 13:30:12 CST 2018
Tue Oct 16 14:00:13 CST 2018
